Execution Year,Lot No.,Location,User,Premium,New Lot Site Area (ha),District Council,Execution Date
2002,Inland Lot No. 3443,2A North Street Kennedy Town,Commercial / Residential,26500000,0.0400,CENTRAL & WESTERN,1 March 2002
2002,Lot No. 2860 in Demarcation District No. 130,Fuk Hang Tsuen Road Lam Tei,Residential R2,165000000,3.6830,TUEN MUN,18 February 2002
2002,Lot No. 67 in Demarcation District No. 175,Kau To Sha Tin,Village Type Development,9320000,0.0390,SHA TIN,8 February 2002
2002,Kwun Tong Inland Lot No. 750,416-424 Kwun Tong Road Kwun Tong,Commercial,59500000,0.9940,KWUN TONG,7 February 2002
2002,Tai Po Town Lot No. 160,Area 11 Tai Po Kau Tai Po,Residential R3,8000000,0.4070,TAI PO,23 January 2002
2001,Tsuen Wan Town Lot No. 405,Hoi Shing Road and Tai Chung Road Tsuen Wan,Other Uses,9500000,0.2050,TSUEN WAN,15 December 2001
2001,Lot No. 653 in Demarcation District No. 238,Hang Hau Wing Lung Street Sai Kung,Residential R3,14570000,0.2460,SAI KUNG,16 October 2001
2001,New Kowloon Inland Lot No. 6371,83 Hing Wah Street West Lai Chi Kok,Other Uses,5940000,0.3860,SHAM SHUI PO,11 October 2001
2001,Kowloon Inland Lot No. 11147,J/O Carnarvon Road and Kimberley Road Tsim Sha Tsui,Commercial,2190000,0.0960,YAU TSIM MONG,25 September 2001
2001,Inland Lot No. 8972,Tai Hang Road Happy Valley,Residential R2,943000000,0.7230,WAN CHAI,10 September 2001
2001,New Kowloon Inland Lot No. 6236,148-150 Nga Tsin Wai Road Kowloon City,Residential R2,8490000,0.1020,KOWLOON CITY,1 August 2001
2001,New Kowloon Inland Lot No. 6284,Cornwall Street Shek Kip Mei,Institution / Community,1000,2.1380,SHAM SHUI PO,9 June 2001
2001,Lot No. 1661 in Demarcation District No. 77,Ping Che Road Fanling,Godown,770000,0.3510,NORTH,8 June 2001
2001,Tuen Mun Town Lot No. 443,Fu Tei Tuen Mun,Residential R3,90000000,0.6320,TUEN MUN,5 March 2001
2022,Lot No. 4805 in Demarcation District No. 104,Kam Pok Road Mai Po Yuen Long,Residential R4,268000000,6.4613,YUEN LONG,18 March 2022
2022,New Kowloon Inland Lot No. 6458,Clear Water Bay Road Ngau Chi Wan,Commercial / Residential,9658000000,2.2373,WONG TAI SIN,18 January 2022
2021,Lot No. 2878 in Demarcation District No. 130,Fuk Hang Tsuen Road Lam Tei Tuen Mun,Institution / Community<br/>(Residential Care Home for the Elderly and Child Care Centre),1000,0.9898,TUEN MUN,22 December 2021
2021,Lot No. 4054 in Demarcation District No. 120,Tai Tong Road. Yuen Long,Residential R2,197420000,0.1031,YUEN LONG,31 December 2021
2021,Chai Wan Inland Lot No. 178,Chai Wan Road Chai Wan,Commercial / Residential,4540210000,0.9000,EASTERN,28 December 2021
2021,Kowloon Inland Lot No. 11258,Maidstone Road To Kwa Wan,Residential R1,179880000,0.0446,KOWLOON CITY,18 November 2021
2021,Lot No. 2170 in Demarcation District No. 121,Tong Yan San Tsuen Yuen Long,Residential R3,64140000,0.1373,YUEN LONG,27 October 2021
2021,Tai Po Town Lot No. 253,Sai Sha Shap Sze Heung Tai Po,Residential R3,3719190000,27.2778,TAI PO,21 October 2021
2021,Lot No. 4822 in Demarcation District No. 104,Yuen Long,Residential R4,229930000,3.7702,YUEN LONG,24 September 2021
2021,Kowloon Inland Lot No. 11128,Junction of Ferry Street Jordan Road and Man Wui Street Jordan,Other Uses<br/>(Headquarters Dormitory and Youth Hostel),991000,0.2670,YAU TSIM MONG,30 September 2021
2021,Lot No. 2195 in Demarcation District No. 244,Ho Chung Sai Kung,Residential R3,369860000,0.7102,SAI KUNG,12 October 2021
2021,Kowloon Inland Lot No. 11270,200-202 Nathan Road Jordan,Commercial,55390000,0.0292,YAU TSIM MONG,8 September 2021
2021,Lot No. 5384 in Demarcation District No. 116,Shap Pat Heung Road Yuen Long,Residential R2,1136290000,0.6504,YUEN LONG,3 August 2021
2021,Lot No. 2206 in Demarcation District No. 109,Kam Tai Road Kam Tin Yuen Long,Residential R3,387880000,1.5978,YUEN LONG,5 August 2021
2002,Tseung Kwan O Town Lot No. 84,Area 115 Wing Lai Road Tseung Kwan O,Institution / Community,6160000,0.6255,SAI KUNG,20 June 2002
2010,Lot No. 4314 in Demarcation District No. 124,Hung Shui Kiu Yuen Long,Institution / Community,28750000,0.4663,YUEN LONG,5 January 2010
2010,Lot No. 5371 in Demarcation District No. 116,Ha Yau Tin Yuen Long,Residential R2,564270000,0.6196,YUEN LONG,30 July 2010
2006,Fanling Sheung Shui Town Lot No. 76,Fan Leng Lau Fanling,Residential R3,65760000,0.3984,NORTH,14 November 2006
2001,Lot No. 269 in Demarcation District No. 390,Sham Tseng Tsuen Wan,Commercial / Residential,110000000,5.2591,TSUEN WAN,7 September 2001
2009,Lot No. 496 in Demarcation District No. 399,Ting Kau Tsuen Wan,Residential R3,72910000,0.2624,TSUEN WAN,25 September 2009
2002,Tsuen Wan Town Lot No. 398,J/O Yeung Uk Road and Tai Ho Road Tsuen Wan,Commercial / Residential,340000000,1.9292,TSUEN WAN,4 December 2002
2010,Tsuen Wan Town Lot No. 414,199 Tsuen King Circuit Tsuen Wan,Institution / Community,1000,0.6705,TSUEN WAN,18 June 2010
2002,Tsuen Wan Town Lot No. 406,Yeung Uk Road Tsuen Wan,Commercial / Residential,309000000,0.5583,TSUEN WAN,12 September 2002
2003,Tsuen Wan Town Lot No. 407,116-122 Yeung Uk Road Tsuen Wan,Commercial / Residential,137000000,0.2146,TSUEN WAN,4 August 2003
2002,Kwai Chung Town Lot No. 467,29-51 Wo Yi Hop Road Kwai Ching,Commercial / Residential,274680000,0.7825,KWAI TSING,4 June 2002
2001,Kwai Chung Town Lot No. 488,Texaco Road Kwai Chung,Institution / Community,1000,0.0857,KWAI TSING,17 May 2001
2021,Lot No. 1871 in Demarcation District Cheung Chau,San Hing Back Street Cheung Chau,Commercial,19920000,0.2377,ISLANDS,17 June 2021
2020,Lot No. 4312 in Demarcation District No. 124,Junction of Hung Shui Kiu Tin Sam Road Hung Yuen Road Hung Tai Road and Hung On Lane Hung Shui Kiu Ping Shan Yuen Long,Residential R2,2128700000,0.9689,YUEN LONG,22 October 2020
2021,Lot No. 2143 in Demarcation District No. 121,Tong Yan San Tsuen Yuen Long,Residential R3,268480000,0.7530,YUEN LONG,24 May 2021
2020,Tuen Mun Town Lot No. 510,Yeung Tsing Road Tuen Mun,Other Uses (Columbarium),567640000 (By annual instalments),0.0531,TUEN MUN,31 March 2020
2019,Lot No. 2091 in Demarcation District No. 105,Shek Wu Wai San Tin Yuen Long,Residential R4,2100000000,11.2993,YUEN LONG,21 May 2019
2019,Inland Lot No. 9045,1 Wang Tak Street Happy Valley,Residential R1,1380000,0.0540,WAN CHAI,4 January 2019
2018,Kowloon Inland Lot No. 11230,233 and 235 Prince Edward Road West Kowloon City,Residential R2,516830000,0.1340,KOWLOON CITY,21 September 2018
2019,Yau Tong Inland Lot No. 45,Tung Yuen Street and Shung Yiu Street Yau Tong,Residential R2,2210300000,0.7773,KWUN TONG,19 June 2019
2018,New Kowloon Inland Lot No. 6602,Yau Tong,Residential R1,1514990000,0.4030,KWUN TONG,8 August 2018
2018,Lot No. 524 in Demarcation District No. 7 Lamma Island,Mo Tat Lamma Island,Residential R3,69870000,0.4552,ISLANDS,29 August 2018
2018,New Kowloon Inland Lot No. 6573,14-20 Inverness Road Kowloon City,Residential R3,200740000,0.1440,KOWLOON CITY,22 October 2018
2018,Tuen Mun Town Lot No. 463,Castle Peak Road – So Kwun Wat Siu Sau Tuen Mun,Residential R3,1731750000,2.4800,TUEN MUN,5 December 2018
2018,Lot No. 4040 in Demarcation District No. 120,Ma Tin Pok Yuen Long,Institution / Community (Youth Hostel),1000,0.6118,YUEN LONG,21 November 2018
2018,Tai Po Town Lot No. 212,Wan Tau Street Tai Po,Institution / Community,88250000,0.0577,TAI PO,3 April 2018
2018,Tai Po Town Lot No. 233,Wai Yi Street Tai Po,Residential R2,36780000,0.0217,TAI PO,3 April 2018
2018,Lot No. 1179 in Demarcation District No. 215,Man Sau Sun Tsuen Sai Kung,Residential R4,6490000,0.0486,SAI KUNG,16 April 2018
2018,Kowloon Inland Lot No. 11169,11 Middle Road Tsim Sha Tsui,Hotel Institution / Community (Club for seafarers),1133450000,0.2689,YAU TSIM MONG,24 May 2018
2017,Tai Po Town Lot No. 217,Wan Tau Kok Lane Tai Po,Institution / Community<br/>(Church),55480000,0.1708,TAI PO,12 July 2017
2016,Chek Lap Kok Lot No. 3,Chek Lap Kok,Other Uses<br/>(Airport related development and airport operational development),1000,24.7497,ISLANDS,21 September 2016
2017,Tai Po Town Lot No. 157,Sai Sha Shap Sze Heung Tai Po,Commercial / Residential,15892480000,62.3232,TAI PO,8 September 2017
2015,Lot No. 604 in Demarcation District No. 21,Pun Shan Chau Tai Po,Residential R4,6830000,0.0753,TAI PO,20 November 2015
2003,Lot No. 2866 in Demarcation District No. 130,Fuk Hang Tsuen Road Tuen Mun,Petrol Filling Station,2070000,0.1672,TUEN MUN,3 June 2003
2004,Lot No. 3578 in Demarcation District No. 129,Deep Bay Road Lau Fau Shan,Commercial,820000,0.0643,YUEN LONG,19 October 2004
2004,Lot No. 2081 in Demarcation District No. 109,Kam Tin Road Yuen Long,Residential R3,214830000,5.0594,YUEN LONG,6 August 2004
2004,Lot No. 4783 in Demarcation District No. 104,Ngau Tam Mei Yuen Long,Residential R3,23430000,0.8255,YUEN LONG,5 August 2004
2004,Lot No. 452 in Demarcation District No. 302,Tai O Lantau Island,Village Type Development,350000,0.0065,ISLANDS,30 April 2004
2005,Lot No. 575 in Demarcation District No. 210,Hing Keng Shek Sai Kung,Residential R3,6910000,0.0818,SAI KUNG,29 July 2005
2005,Lot No. 2064 in Demarcation District No. 121,Tai Tao Tsuen Yuen Long,Residential R3,426950000,1.6292,YUEN LONG,12 May 2005
2005,Lot No. 694 in Demarcation District No. 333,Shap Long Lantau Island,Village Type Development,Nil,0.0231,ISLANDS,26 April 2005
2005,Lot No. 454 in Demarcation District No. 302,Tai O Lantau Island,Village Type Development,460000,0.0058,ISLANDS,4 February 2005
2006,Lot No. 1862 in Demarcation District Cheung Chau,Fa Peng Road Cheung Chau,Residential R4,2260000,0.0942,ISLANDS,27 October 2006
2007,Lot No. 4042 in Demarcation District No. 120,Lung Tin Tsuen Yuen Long,Residential R1,89530000,0.6647,YUEN LONG,30 May 2007
2008,Lot No. 4331 in Demarcation District No. 124,Hung Shui Kiu Yuen Long,Residential R2,25930000,0.2315,YUEN LONG,12 September 2008
2010,Lot No. 816 in Demarcation District No. 110,Shek Kong San Tsuen Yuen Long,Residential R4,12280000,0.1543,YUEN LONG,19 July 2010
2010,Lot No. 2068 in Demarcation District No. 121,Tong Yan San Tsuen Yuen Long,Residential R2,18600000,0.0534,YUEN LONG,30 June 2010
2010,Lot No. 422 in Demarcation District No. 127,Kiu Tau Wai Yuen Long,Industrial Office,9920000,1.0552,YUEN LONG,22 June 2010
2011,Lot No. 4041 in Demarcation District No. 120,Fraser Village Yuen Long,Residential R3,90770000,0.3843,YUEN LONG,23 May 2011
2011,Lot No. 2148 in Demarcation District No. 121,Tong Yan San Tsuen Yuen Long,Industrial / Godown,39000000,0.4366,YUEN LONG,28 February 2011
2012,Lot No. 1201 in Demarcation District No. 217,Tai Chung Hau Sai Kung,Petrol Filling Station,62540000,0.1588,SAI KUNG,14 August 2012
2012,Kowloon Inland Lot No. 11212,Sai Yee Street Nelson Street and Fa Yuen Street Mong Kok,Residential R1,1000,0.2478,YAU TSIM MONG,21 December 2012
2012,Tuen Mun Town Lot No. 414,Fu Tei Road Fu Tei Tuen Mun,Institution / Community,1000,0.1122,TUEN MUN,10 December 2012
2012,Kowloon Inland Lot No. 11211,Pak Tai Street and Mok Cheong Street Ma Tau Kok,Residential R1,1000,0.0772,KOWLOON CITY,17 October 2012
2012,Lot No. 4810 in Demarcation District No. 104,Ngau Tam Mei Yuen Long,Institution / Community,33640000,0.2578,YUEN LONG,23 May 2012
2012,Kowloon Inland Lot No. 11213,Hoi Ting Road Yau Ma Tei,Institution / Community,1000,0.1943,YAU TSIM MONG,7 March 2012
2012,Fanling Sheung Shui Town Lot No. 249,Junction of Lok Yip Road and On Chuen Street On Lok Tsuen Fanling,Industrial / Godown,30610000,0.0874,NORTH,10 February 2012
2012,New Kowloon Inland Lot No. 6511,11 and 11A Grampian Road Kowloon City,Residential R3,92370000,0.1083,KOWLOON CITY,6 February 2012
2012,New Kowloon Inland Lot No. 6333,West Rail - Nam Cheong Station,Commercial / Residential,1000,6.1755,SHAM SHUI PO,31 January 2012
2011,Inland Lot No. 8978,Tanner Road North Point,Residential R1,1076040000,0.8538,EASTERN,30 November 2011
2011,Lot No. 1927 in Demarcation District No. 107,Sha Po Kam Tin Yuen Long,Residential R3,7021310000,17.5977,YUEN LONG,12 August 2011
2011,New Kowloon Inland Lot No. 6492,Castle Peak Road Hing Wah Street and Un Chau Street Cheung Sha Wan,Residential R1,1000,0.2614,SHAM SHUI PO,25 July 2011
2011,New Kowloon Inland Lot No. 6490,Castle Peak Road and Hing Wah Street Cheung Sha Wan,Residential R1,1000,0.1399,SHAM SHUI PO,28 June 2011
2011,Fanling Sheung Shui Town Lot No. 239,On Kui Street On Lok Tsuen Fanling,Industrial / Godown,10620000,0.0931,NORTH,4 May 2011
2011,Kowloon Inland Lot No. 11208,Tai Kok Tsui Road Tai Kok Tsui,Hotel,192210000,0.0845,YAU TSIM MONG,18 April 2011
2011,New Kowloon Inland Lot No. 6449,Off Ching Cheung Road Cheung Sha Wan,Institution / Community,10170000,0.1552,SHAM SHUI PO,23 February 2011
2010,Yuen Long Town Lot No. 520,Tai Yuk Road Yuen Long,Other Uses,1000,0.1163,YUEN LONG,19 October 2010
2010,Aberdeen Inland Lot No. 453,19 and 21 Wong Chuk Hang Road Aberdeen,Commercial,100180000,0.1328,SOUTHERN,14 October 2010
2010,Rural Building Lot No. 1182,50 Island Road Repulse Bay,Residential R3,824970000,0.5118,SOUTHERN,6 September 2010
2010,Rural Building Lot No. 1189,21 Tai Tam Road Stanley,Residential R3,9980000,0.1288,SOUTHERN,20 July 2010
2010,Kowloon Inland Lot No. 11196,5 and 9 Yuk Yat Street To Kwa Wan,Residential R1,450220000,0.1798,KOWLOON CITY,13 May 2010
2010,New Kowloon Inland Lot No. 6494,Lai Chi Kok Road Kweilin Street and Yee Kuk Street Sham Shui Po,Residential R1,1000,0.3339,SHAM SHUI PO,16 March 2010
2010,Inland Lot No. 9018,Lee Tung Street and McGregor Street Wan Chai,Commercial / Residential,1000,0.8236,WAN CHAI,25 February 2010
2010,Sha Tin Town Lot No. 502,Lok Wo Sha Ma On Shan Sha Tin,Commercial / Residential,9596950000,9.6841,SHA TIN,4 February 2010
2009,New Kowloon Inland Lot No. 6500,21 23 and 25 Grampian Road Kowloon City,Residential R2,137540000,0.2059,KOWLOON CITY,29 December 2009
2009,Lot No. 279 in Demarcation District No. 335,South Lantau Road Pui O Au Pui O Lantau Island,Other Uses,7670000,0.2929,ISLANDS,4 December 2009
2009,Fanling Sheung Shui Town Lot No. 240,3 Sha Tau Kok Road Lung Yeuk Tau Fanling,Institution / Community,12210000,0.2114,NORTH,12 November 2009
2009,Fanling Sheung Shui Town Lot No. 73,Shek Wu Hui Sheung Shui,Commercial / Residential,259240000,0.1322,NORTH,5 November 2009
2009,Inland Lot No. 9021,King's Road North Point,Commercial,573440000,0.3166,EASTERN,21 October 2009
2009,Kwun Tong Inland Lot No. 756,133 Hoi Bun Road Kwun Tong,Non Residential,443530000,0.3642,KWUN TONG,14 October 2009
2009,New Kowloon Inland Lot No. 6354,873 Lai Chi Kok Road Cheung Sha Wan,Residential R1,533970000,0.2844,SHAM SHUI PO,7 July 2009
2008,Shau Kei Wan Inland Lot No. 850,Shau Kei Wan Road and Nam On Street Shau Kei Wan,Residential R1,1000,0.1872,EASTERN,4 November 2008
2008,Lot No. 4043 in Demarcation District No. 120,Lung Tin Tsuen Yuen Long,Residential R1,2130920000,2.0031,YUEN LONG,10 July 2008
2008,Kowloon Inland Lot No. 11192,Beech Street Ivy Street Pine Street and Anchor Street Tai Kok Tsui,Residential R1,1000,0.2328,YAU TSIM MONG,24 June 2008
2008,Lot No. 1670 in Demarcation District No. 77,Ping Che Fanling,Godown,2630000,0.2204,NORTH,17 April 2008
2008,Fanling Sheung Shui Town Lot No. 114,Lok Yip Road On Lok Tsuen Fanling,Industrial / Godown,1890000,0.2791,NORTH,17 April 2008
2008,New Kowloon Inland Lot No. 6448,Po On Road Tonkin Street Wai Wai Road and Pratas Street Sham Shui Po,Commercial / Residential,1000,0.2592,SHAM SHUI PO,27 February 2008
2008,Rural Building Lot No. 1183,32 Chung Hom Kok Road Chung Hom Kok,Residential R3,20860000,0.0652,SOUTHERN,14 February 2008
2008,Kwun Tong Inland Lot No. 753,20-24 Hung To Road Kwun Tong,Non Residential,260320000,0.1605,KWUN TONG,13 February 2008
2007,Fanling Sheung Shui Town Lot No. 231,Ng Uk Tsuen Fanling,Residential R3,170480000,0.4253,NORTH,11 October 2007
2007,Lot No. 419 in Demarcation District No. 127,Tai Tao Tsuen Yuen Long,Residential R2,492400000,2.1274,YUEN LONG,11 September 2007
2007,Kowloon Inland Lot No. 11195,Larch Street / Fir Street Tai Kok Tsui,Commercial / Residential,1000,0.2195,YAU TSIM MONG,10 August 2007
2007,Yuen Long Town Lot No. 508,Po Yip Street Yuen Long,Residential R1,306950000,0.6866,YUEN LONG,22 June 2007
2007,New Kowloon Inland Lot No. 6473,15-19 Luk Hop Street San Po Kong,Non Residential,245730000,0.2211,WONG TAI SIN,30 April 2007
2007,Kowloon Inland Lot No. 11188,Hanoi Road Tsim Sha Tsui,Commercial / Residential,185560000,0.8299,YAU TSIM MONG,23 April 2007
2007,Inland Lot No. 9006,Queen's Road East Wan Chai,Residential R1,1000,0.0378,WAN CHAI,20 April 2007
2007,Fanling Sheung Shui Town Lot No. 232,Jockey Club Road Sheung Shui,Institution / Community,1000,0.9131,NORTH,9 March 2007
2006,Inland Lot No. 9016,68 Mount Davis Road Pokfulam,Residential R3,16670000,0.2406,SOUTHERN,3 November 2006
2006,Extension to Lot No. 4773 in Demarcation District No. 104,Wai Tsai Ngau Tam Mei Yuen Long,Residential R4,153200000,1.1106,YUEN LONG,26 October 2006
2006,Kwun Tong Inland Lot No. 751,4 Lai Yip Street & 114 Wai Yip Street Kwun Tong,Non Residential,388200000,0.2264,KWUN TONG,25 July 2006
2006,Kwun Tong Inland Lot No. 752,165-167 Wai Yip Street & 66 How Ming Street Kwun Tong,Non Residential,295680000,0.1769,KWUN TONG,30 May 2006
2006,Inland Lot No. 8982,Sai Ning Street Kennedy Town,Residential R1,144960000,0.0997,CENTRAL & WESTERN,27 April 2006
2006,Rural Building Lot No. 1163,11 & 12 Headland Road Chung Hom Kok,Residential R3,116570000,0.4041,SOUTHERN,26 April 2006
2006,Tuen Mun Town Lot No. 428,So Kwun Wat Tuen Mun,Petrol Filling Station,24740000,0.1777,TUEN MUN,6 March 2006
2005,Inland Lot No. 9003,First Street / Second Street Sai Ying Pun,Commercial / Residential,1000,0.3536,CENTRAL & WESTERN,9 December 2005
2005,Kowloon Inland Lot No. 11182,Larch Street and Bedford Road Tai Kok Tsui,Commercial / Residential,1000,0.1228,YAU TSIM MONG,25 November 2005
2005,Tuen Mun Town Lot No. 208,116 Castle Peak Road Tuen Mun.,Residential R2,29100000,0.2581,TUEN MUN,22 November 2005
2005,Lot No. 1863 in Demarcation District Cheung Chau,Pak She Back Street Cheung Chau,Village Type Development,4460000,0.0578,ISLANDS,28 October 2005
2005,Fanling Sheung Shui Town Lot No. 228,Jockey Club Road Fanling,Institution / Community,1000,1.0466,NORTH,18 May 2005
2005,Kowloon Inland Lot No. 11121,Hanoi Road Tsim Sha Tsui,Commercial / Residential,450000000,0.7635,YAU TSIM MONG,6 May 2005
2005,Tuen Mun Town Lot No. 461,Lam Tei Tuen Mun,Residential R3,16330000,0.1182,TUEN MUN,23 April 2005
2005,Yuen Long Town Lot No. 515,Ma Tin Road Yuen Long,Residential R1,469710000,1.2893,YUEN LONG,20 April 2005
2005,Kowloon Inland Lot No. 11157,18-30 Bedford Road Tai Kok Tsui,Residential R1,118030000,0.0682,YAU TSIM MONG,8 April 2005
2005,Tai Po Town Lot No. 179,Ma Wo Tai Po,Residential R2,185240000,0.5909,TAI PO,24 March 2005
2005,Fanling Sheung Shui Town Lot No. 197,1-3 San Kin Street Shek Wu Hui Sheung Shui,Non Residential,1000000,0.0195,NORTH,28 February 2005
2005,Kowloon Inland Lot No. 11173,589-601 Reclamation Street Mong Kok,Commercial / Residential,1000,0.0535,YAU TSIM MONG,8 February 2005
2004,New Kowloon Inland Lot No. 6433,URA Project K19 J/O Po On Road Hing Wah Street and Shun Ning Road Cheung Sha Wan,Residential R1,1000,0.1394,SHAM SHUI PO,20 December 2004
2004,Sha Tin Town Lot No. 539,Fu Kin Street Sha Tin,Residential R2,609430000,0.8842,SHA TIN,23 November 2004
2004,New Kowloon Inland Lot No. 6425,Fuk Wing Street and Fuk Wa Street Sham Shui Po,Residential R1,1000,0.1384,SHAM SHUI PO,17 November 2004
2004,Stanley Inland Lot No. 95,120 Stanley Main Street Stanley,Residential R1,630000,0.0058,SOUTHERN,20 October 2004
2004,Yuen Long Town Lot No. 504,Castle Peak Road (Yuen Long Section) Yuen Long,Residential R1,1468900000,2.8712,YUEN LONG,3 June 2004
2004,Kowloon Inland Lot No. 11159,220-222 Tai Kok Tsui Road Tai Kok Tsui,Residential R1,390160000,0.3358,YAU TSIM MONG,3 June 2004
2004,Fanling Sheung Shui Town Lot No. 217,Area 36 Ng Uk Tsuen Sheung Shui,Residential R2,80550000,0.2322,NORTH,21 May 2004
2004,Inland Lot No. 8973,50A B & C Tai Hang Road,Residential R2,40900000,0.0557,WAN CHAI,18 May 2004
2004,Sha Tin Town Lot No. 438,Tung Lo Wan Hill Road Shatin,Residential R3,75270000,0.6086,SHA TIN,15 April 2004
2004,Lot No. 2536 in Demarcation District No. 3 Tung Chung,Ha Ling Pei Tung Chung,Village Type Development,770000,0.0208,ISLANDS,1 April 2004
2003,Fanling Sheung Shui Town Lot No. 222,Area 31 Tin Ping Road Fanling,Residential R2,184000000,1.6488,NORTH,19 December 2003
2003,Kowloon Inland Lot No. 11156,302-302A Prince Edward Road West Kowloon City,Residential R2,44850000,0.0933,KOWLOON CITY,11 December 2003
2003,Inland Lot No. 8977,2-6 Aberdeen Street Central,Commercial / Residential,21250000,0.0397,CENTRAL & WESTERN,23 October 2003
2003,Inland Lot No. 8953,Queen's Road East & Wan Chai Road Wan Chai,Commercial / Residential,168000000,0.6781,WAN CHAI,9 June 2003
2003,Sha Tin Town Lot No. 533,11 Sha Tin Heights Road,Residential R2,6690000,0.3558,SHA TIN,24 April 2003
2003,Lot No. 677 in Demarcation District Peng Chau,Wing On Side Street Peng Chau,Village Type Development,256000,0.0057,ISLANDS,21 February 2003
2002,Tseung Kwan O Town Lot No. 85,Area 106 Tseung Kwan O,Other Uses,1510000,4.8564,SAI KUNG,21 November 2002
2002,New Kowloon Inland Lot No. 6332,31 Grampian Road Kowloon City,Residential R2,6000000,0.0488,KOWLOON CITY,1 November 2002
2002,Kowloon Inland Lot No. 11123,15-21 Fa Yuen Street Mongkok,Commercial / Residential,60000000,0.0449,YAU TSIM MONG,8 October 2002
2002,Yuen Long Town Lot No. 516,83 Castle Peak Road Yuen Long,Commercial / Residential,Nil,0.0098,YUEN LONG,27 August 2002
2002,Fanling Sheung Shui Town Lot No. 189,Area 36 Sheung Shui,Residential R2,110000000,0.9024,NORTH,18 June 2002
2002,Kowloon Inland Lot No. 11151,Tai Kok Tsui Olympic Station Site D,Residential R2,815050000,1.7192,YAU TSIM MONG,4 March 2002
2002,Inland Lot No. 8962,12 & 12A North Street Kennedy Town,Commercial / Residential,26500000,0.0427,CENTRAL & WESTERN,1 March 2002
2002,Sha Tin Town Lot No. 521,Hung Kiu Lane Kau To Sha Tin,Residential R4,4670000,0.3172,SHA TIN,11 February 2002
2002,Inland Lot No. 8844,121-131 Thomson Road & 2- 10 Fleming Road Wan Chai,Commercial / Residential,14000000,0.1033,WAN CHAI,8 February 2002
2002,Inland Lot No. 8971,Kennedy Town New Praya Kennedy Town,Residential R1,1000,0.6075,CENTRAL & WESTERN,29 January 2002
